start,target,D,W,ID
"(1, 3)","(1, 4)",256.0,255.0,1.0
"(1, 3)","(1, 5)",512.0,255.0,1.59
"(1, 3)","(2, 3)",288.0,288.0,1.0
"(1, 3)","(2, 4)",385.33,271.94,1.27
"(1, 3)","(2, 5)",587.44,261.89,1.7
"(1, 3)","(3, 3)",576.0,288.0,1.58
"(1, 3)","(3, 4)",630.33,281.67,1.7
"(1, 3)","(3, 5)",770.66,271.94,1.94
"(1, 3)","(1, 7)",1199.16,200,2.81
"(1, 4)","(1, 3)",256.0,255.0,1.0
"(1, 4)","(1, 5)",256.0,255.0,1.0
"(1, 4)","(2, 3)",385.33,271.94,1.27
"(1, 4)","(2, 4)",288.0,288.0,1.0
"(1, 4)","(2, 5)",385.33,271.94,1.27
"(1, 4)","(3, 3)",630.33,281.67,1.7
"(1, 4)","(3, 4)",576.0,288.0,1.58
"(1, 4)","(3, 5)",630.33,281.67,1.7
"(1, 4)","(1, 7)",993.43,200,2.58
"(1, 5)","(1, 3)",512.0,255.0,1.59
"(1, 5)","(1, 4)",256.0,255.0,1.0
"(1, 5)","(2, 3)",587.44,261.89,1.7
"(1, 5)","(2, 4)",385.33,271.94,1.27
"(1, 5)","(2, 5)",288.0,288.0,1.0
"(1, 5)","(3, 3)",770.66,271.94,1.94
"(1, 5)","(3, 4)",630.33,281.67,1.7
"(1, 5)","(3, 5)",576.0,288.0,1.58
"(1, 5)","(1, 7)",816.65,200,2.35
"(2, 3)","(1, 3)",288.0,288.0,1.0
"(2, 3)","(1, 4)",385.33,271.94,1.27
"(2, 3)","(1, 5)",587.44,261.89,1.7
"(2, 3)","(2, 4)",256.0,255.0,1.0
"(2, 3)","(2, 5)",512.0,255.0,1.59
"(2, 3)","(3, 3)",288.0,288.0,1.0
"(2, 3)","(3, 4)",385.33,271.94,1.27
"(2, 3)","(3, 5)",587.44,261.89,1.7
"(2, 3)","(1, 7)",1071.3,200,2.67
"(2, 4)","(1, 3)",385.33,271.94,1.27
"(2, 4)","(1, 4)",288.0,288.0,1.0
"(2, 4)","(1, 5)",385.33,271.94,1.27
"(2, 4)","(2, 3)",256.0,255.0,1.0
"(2, 4)","(2, 5)",256.0,255.0,1.0
"(2, 4)","(3, 3)",385.33,271.94,1.27
"(2, 4)","(3, 4)",288.0,288.0,1.0
"(2, 4)","(3, 5)",385.33,271.94,1.27
"(2, 4)","(1, 7)",834.63,200,2.37
"(2, 5)","(1, 3)",587.44,261.89,1.7
"(2, 5)","(1, 4)",385.33,271.94,1.27
"(2, 5)","(1, 5)",288.0,288.0,1.0
"(2, 5)","(2, 3)",512.0,255.0,1.59
"(2, 5)","(2, 4)",256.0,255.0,1.0
"(2, 5)","(3, 3)",587.44,261.89,1.7
"(2, 5)","(3, 4)",385.33,271.94,1.27
"(2, 5)","(3, 5)",288.0,288.0,1.0
"(2, 5)","(1, 7)",613.68,200,2.02
"(3, 3)","(1, 3)",576.0,288.0,1.58
"(3, 3)","(1, 4)",630.33,281.67,1.7
"(3, 3)","(1, 5)",770.66,271.94,1.94
"(3, 3)","(2, 3)",288.0,288.0,1.0
"(3, 3)","(2, 4)",385.33,271.94,1.27
"(3, 3)","(2, 5)",587.44,261.89,1.7
"(3, 3)","(3, 4)",256.0,255.0,1.0
"(3, 3)","(3, 5)",512.0,255.0,1.59
"(3, 3)","(1, 7)",1011.57,200,2.6
"(3, 4)","(1, 3)",630.33,281.67,1.7
"(3, 4)","(1, 4)",576.0,288.0,1.58
"(3, 4)","(1, 5)",630.33,281.67,1.7
"(3, 4)","(2, 3)",385.33,271.94,1.27
"(3, 4)","(2, 4)",288.0,288.0,1.0
"(3, 4)","(2, 5)",385.33,271.94,1.27
"(3, 4)","(3, 3)",256.0,255.0,1.0
"(3, 4)","(3, 5)",256.0,255.0,1.0
"(3, 4)","(1, 7)",756.43,200,2.26
"(3, 5)","(1, 3)",770.66,271.94,1.94
"(3, 5)","(1, 4)",630.33,281.67,1.7
"(3, 5)","(1, 5)",576.0,288.0,1.58
"(3, 5)","(2, 3)",587.44,261.89,1.7
"(3, 5)","(2, 4)",385.33,271.94,1.27
"(3, 5)","(2, 5)",288.0,288.0,1.0
"(3, 5)","(3, 3)",512.0,255.0,1.59
"(3, 5)","(3, 4)",256.0,255.0,1.0
"(3, 5)","(1, 7)",502.19,200,1.81
"(1, 7)","(1, 3)",1199.16,263.45,2.47
"(1, 7)","(1, 4)",993.43,267.59,2.24
"(1, 7)","(1, 5)",816.65,274.34,1.99
"(1, 7)","(2, 3)",1071.3,258.17,2.36
"(1, 7)","(2, 4)",834.63,260.28,2.07
"(1, 7)","(2, 5)",613.68,265.04,1.73
"(1, 7)","(3, 3)",1011.57,255.14,2.31
"(1, 7)","(3, 4)",756.43,255.25,1.99
"(1, 7)","(3, 5)",502.19,255.57,1.57
