participant,method,game_mode,avg_from_highlighted_to_selected,error_rate,avg_elapsed_task_time
p1_real2,blink,chase,1.1527735505785262,0.02857142857142858,2.230580908911569
p1_real2,blink,memory,1.1296873433249337,0.05714285714285716,2.952722999027797
p1_real2,head_turn,chase,0.9096745211502602,0.06896551724137934,1.865515371848797
p1_real2,head_turn,memory,1.2221843354842241,0.02941176470588236,3.335526277037228
p1_real2,hotcorner,chase,0.5550034865736961,0.03125,1.6262926384806633
p1_real2,hotcorner,memory,0.5098995102776421,0.05555555555555558,2.6255266269048056
p2_real2,blink,chase,1.4897185961405437,0.0,2.444750345114506
p2_real2,blink,memory,1.3180850043016321,0.08823529411764708,3.651373505592346
p2_real2,head_turn,chase,1.3011757394541865,0.0,4.852421501408452
p2_real2,head_turn,memory,1.0452902793884278,0.05714285714285716,3.633641345160348
p2_real2,hotcorner,chase,0.8521412141395338,0.0,2.2538552789977104
p2_real2,hotcorner,memory,1.0155082362038748,0.02857142857142858,4.098381355830601
p3_real,blink,chase,1.7645160646149607,0.0,2.9234828732230445
p3_real,blink,memory,2.0551068453953185,0.0,5.173668886053151
p3_real,head_turn,chase,1.4826187321117945,0.0,4.272030523845127
p3_real,head_turn,memory,1.524506297604791,0.03448275862068961,4.519953678394186
p3_real,hotcorner,chase,0.843768084750456,0.0,2.1479785091736736
p3_real,hotcorner,memory,0.7854408621788025,0.0,2.9952769055962563
p4_real,blink,chase,1.5367151229612288,0.0,3.0376955924495572
p4_real,blink,memory,1.5516543080729823,0.0,4.21177670263475
p4_real,head_turn,chase,0.988916520719175,0.0,3.571101983388265
p4_real,head_turn,memory,1.3209594190120697,0.0,3.928106745084127
p4_real,hotcorner,chase,1.1845858097076416,0.0,3.385639918477912
p4_real,hotcorner,memory,1.073959755897522,0.050000000000000044,4.43049589395523
p5_real,blink,chase,1.2034066132136754,0.0,1.989150939668928
p5_real,blink,memory,1.4140535071492195,0.0,3.9595560431480408
p5_real,head_turn,chase,1.0428181272564512,0.0,2.3636197249094644
p5_real,head_turn,memory,1.0858880579471588,0.0,3.263030156493187
p5_real,hotcorner,chase,0.8787061293919881,0.033333333333333326,2.664288314183553
p5_real,hotcorner,memory,0.8045216560363769,0.06666666666666665,3.3924081722895303
p6_real,blink,chase,1.533129801068987,0.0,2.8573783942631312
p6_real,blink,memory,1.624809565082673,0.0,3.952879559609198
p6_real,head_turn,chase,1.156660654965569,0.02941176470588236,2.4430781532736385
p6_real,head_turn,memory,1.7669116780161858,0.0,4.643396571278572
p6_real,hotcorner,chase,0.7883955165743828,0.0,1.8620391339063644
p6_real,hotcorner,memory,0.8899538440089072,0.032258064516129004,3.106264598907963
p7_real,blink,chase,1.6889196453672466,0.0,2.996256972804214
p7_real,blink,memory,1.679831685441913,0.0,4.381536584911925
p7_real,head_turn,chase,1.6381846806582283,0.0,2.6009664605645573
p7_real,head_turn,memory,1.342710382408566,0.02777777777777779,3.1103448602888317
p7_real,hotcorner,chase,1.0922114849090576,0.0,2.0416433215141296
p7_real,hotcorner,memory,0.940907396376133,0.0,3.5081819891929626
p8_real,blink,chase,1.543560252870832,0.0,3.0826522759028845
p8_real,blink,memory,1.4366367946971546,0.09090909090909094,3.528178092205163
p8_real,head_turn,chase,1.5054025361032197,0.0,2.6125570066047437
p8_real,head_turn,memory,1.4159612037517406,0.03703703703703709,3.724192018862124
p8_real,hotcorner,chase,0.6341160958813082,0.12903225806451613,2.2056130286185973
p8_real,hotcorner,memory,0.5410273373126984,0.03125,2.9079932793974876
